name trial difficulty fixations accuracy phase hit group
control4 118 589 7 5 training true control
control4 119 589 1 20 training true control
control4 120 589 1 14 training true control
control4 121 589 15 12 training true control
control4 122 589 2 11 training true control
control4 123 589 2 33 training true control
control4 124 589 2 36 training true control
control4 125 579 3 31 training true control
control4 126 579 1 22 training true control
control4 127 579 7 14 training true control
control4 128 579 1 16 training true control
control4 129 579 1 28 training true control
control4 130 579 1 7 training true control
control4 131 569 1 15 training true control
control4 132 569 6 4 training true control
control4 133 569 8 37 training true control
control4 134 569 1 294 training false control
control4 135 569 6 12 training true control
control4 136 569 2 1 training true control
control4 137 569 28 297 training false control
control4 138 569 3 14 training true control
control4 139 569 8 18 training true control
control4 140 569 4 8 training true control
control4 141 569 1 33 training true control
control4 142 569 12 382 training false control
control4 143 569 3 4 training true control
control4 144 569 6 20 training true control
control4 145 569 3 17 training true control
control4 146 559 3 5 training true control
control4 147 559 1 9 training true control
control4 148 559 3 53 training true control
control4 149 549 2 17 training true control
control4 150 549 1 25 training true control
control4 151 549 2 15 training true control
control4 152 539 3 46 training true control
control4 153 539 2 319 training false control
control4 154 539 5 20 training true control
control4 155 539 1 13 training true control
control4 156 539 4 7 training true control
control4 157 529 7 6 training true control
control4 158 529 8 50 training true control
control4 159 529 3 469 training false control
control4 160 539 1 4 training true control
control4 161 700 4 47 after true control
control4 162 700 2 1 after true control
control4 163 700 8 6 after true control
control4 164 700 2 6 after true control
control4 165 700 8 3 after true control
control4 166 700 3 7 after true control
control4 167 700 4 66 after false control
control4 168 700 1 40 after true control
control4 169 700 3 4 after true control
control4 170 700 6 9 after true control
control4 171 690 6 2 after true control
control4 172 690 1 13 after true control
control4 173 690 2 6 after true control
control4 174 679 2 7 after true control
control4 175 679 1 20 after true control
control4 176 679 10 24 after true control
control4 177 679 4 2 after true control
control4 178 679 5 21 after true control
control4 179 679 2 31 after true control
control4 180 669 2 138 after false control
control4 181 669 1 45 after true control
control4 182 669 8 2 after true control
control4 183 669 1 54 after true control
control4 184 669 4 21 after true control
control4 185 669 5 0 after true control
control4 186 659 3 2 after true control
control4 187 659 4 14 after true control
control4 188 659 5 7 after true control
control4 189 649 4 4 after true control
control4 190 649 5 3 after true control
control4 191 649 6 239 after false control
control4 192 649 4 12 after true control
control4 193 649 4 13 after true control
control4 194 649 1 8 after true control
control4 195 639 1 11 after true control
control4 196 639 2 2 after true control
control4 197 639 4 412 after false control
control4 198 639 1 37 after true control
control4 199 639 1 2 after true control
control4 200 639 6 8 after true control
control5 1 700 32 12 before true control
control5 2 700 27 9 before true control
control5 3 700 10 11 before true control
control5 4 710 3 21 before true control
control5 5 710 3 10 before true control
control5 6 710 10 21 before true control
control5 7 710 5 18 before true control
control5 8 710 8 10 before true control
control5 9 710 1 12 before true control
control5 10 710 6 11 before true control
control5 11 710 4 10 before true control
control5 12 700 10 9 before true control
control5 13 700 7 11 before true control
control5 14 700 5 24 before true control
control5 15 700 3 10 before true control
control5 16 700 6 16 before true control
control5 17 690 3 8 before true control
control5 18 690 4 11 before true control
control5 19 690 1 7 before true control
control5 20 679 3 8 before true control
control5 21 679 3 12 before true control
control5 22 679 3 27 before true control
control5 23 669 10 19 before true control
control5 24 669 1 6 before true control
control5 25 669 3 7 before true control
control5 26 669 17 11 before true control
control5 27 669 5 1 before true control
control5 28 669 12 9 before true control
control5 29 669 12 56 before true control
control5 30 669 2 44 before true control
control5 31 669 6 14 before true control
control5 32 669 2 3 before true control
control5 33 659 3 14 before true control
control5 34 659 4 24 before true control
control5 35 659 5 34 before true control
control5 36 649 5 22 before true control
